iter	RMSE
0	1.185041822
1	1.167137744
2	1.149826441
3	1.132678396
4	1.115964163
5	1.099633496
6	1.083655804
7	1.068280257
8	1.053211605
9	1.038326479
10	1.023939228
11	1.009861455
12	0.9960249573
13	0.9826283571
14	0.9695189547
15	0.9566321028
16	0.9441981756
17	0.9320096186
18	0.9201989913
19	0.9086531866
20	0.8973818864
21	0.88634884
22	0.8756416458
23	0.8652038574
24	0.8549748354
25	0.8450302023
26	0.8354873034
27	0.8261719822
28	0.8170536458
29	0.8082086607
30	0.7995111437
31	0.7910235692
32	0.782802775
33	0.7746443314
34	0.7668751528
35	0.7592651172
36	0.7519077538
37	0.7446798912
38	0.737644652
39	0.7307500807
40	0.7240352681
41	0.717543804
42	0.7112199779
43	0.7050942599
44	0.6991631543
45	0.6933520857
46	0.6877785157
47	0.6822677827
48	0.6768692978
49	0.6717626527
50	0.6666562066
51	0.6618253908
52	0.6571373908
53	0.6525458615
54	0.6480402066
55	0.643693386
56	0.6394583624
57	0.6354500272
58	0.6314327265
59	0.6276451641
60	0.6239371724
61	0.6203381773
62	0.6168813478
63	0.6135203419
64	0.6102108949
65	0.6069389055
66	0.6038394483
67	0.600827096
68	0.5978247681
69	0.5949567816
70	0.5922070357
71	0.58952283
72	0.5869146944
73	0.5843798907
74	0.5819749811
75	0.5796304405
76	0.5773620693
77	0.575100837
78	0.5730009811
79	0.5709036679
80	0.5688959264
81	0.5669240319
82	0.5650782965
83	0.5632352509
84	0.5613899104
85	0.5596105275
86	0.5578861994
87	0.5562876006
88	0.5546893071
89	0.5531742103
90	0.5517088846
91	0.5502272821
92	0.5487918642
93	0.5474077142
94	0.5460575804
95	0.5447719897
96	0.5434707752
97	0.5422070496
98	0.5410273957
99	0.5398594651
100	0.5387679052
101	0.5377290326
102	0.5366865544
103	0.5356410372
104	0.5346332355
105	0.5336847774
106	0.5327813733
107	0.5318925361
108	0.5309794635
109	0.530105622
110	0.5292680848
111	0.5284845768
112	0.5277195724
113	0.5269565537
114	0.5261722726
115	0.5254379848
116	0.524723706
117	0.5240581416
118	0.5233726369
119	0.5227058029
120	0.5220773815
121	0.5214769291
122	0.5208580139
123	0.5202910447
124	0.519731867
125	0.5191701191
126	0.5186468414
127	0.5180563847
128	0.5175456771
129	0.5170424452
130	0.5165383276
131	0.5160486991
132	0.51558257
133	0.5151413151
134	0.5146791084
135	0.5142501768
136	0.5138372412
137	0.5134415341
138	0.5130397711
139	0.5126554018
140	0.512273991
141	0.5118787043
142	0.5115381308
143	0.5111643134
144	0.5107881941
145	0.5104392981
146	0.5100833243
147	0.5097384992
148	0.509426147
149	0.5090855962
150	0.5087981473
151	0.5084801233
152	0.5080998701
153	0.5077797621
154	0.5074705773
155	0.5072071921
156	0.5069216607
157	0.506665011
158	0.5063432001
159	0.5060417553
160	0.5057295853
161	0.5054888072
162	0.5052340512
163	0.5049680075
164	0.5047394718
165	0.5044932107
166	0.5042396331
167	0.5040285037
168	0.5037910293
169	0.5036027746
170	0.5033391265
171	0.503137952
172	0.502942009
173	0.502716627
174	0.5025149138
175	0.5023021228
176	0.5021245805
177	0.5019012256
178	0.5016976935
179	0.5014807507
180	0.5012570591
181	0.5010578172
182	0.5008373687
183	0.5006525146
184	0.5004046761
185	0.5001637029
186	0.4999269958
187	0.4997726313
188	0.4996189787
189	0.4994335926
190	0.4992688128
191	0.4991120518
192	0.4989089626
193	0.4987310742
194	0.4986104534
195	0.498464116
196	0.4982203998
197	0.4980857755
198	0.4979468925
199	0.4978046973
200	0.4976164678
201	0.4974707996
202	0.4973014384
203	0.4971805395
204	0.4970251928
205	0.4968896789
206	0.4967464284
207	0.4965700666
208	0.4964211538
209	0.4962648801
210	0.4960966308
211	0.4959974645
212	0.4958616231
213	0.495713869
214	0.4956107524
215	0.495468509
216	0.4953516474
217	0.495248387
218	0.495126358
219	0.4949758147
220	0.4948643023
221	0.4947421823
222	0.4946257547
223	0.4945196833
224	0.4944161576
225	0.4942975829
226	0.4941848421
227	0.4940733382
228	0.4939760193
229	0.4938572092
230	0.4937589244
231	0.4936525255
232	0.4935264162
233	0.493425567
234	0.4932391789
235	0.4930522442
236	0.4929469833
237	0.4928643008
238	0.4927601094
239	0.492660698
240	0.4925544864
241	0.4924619531
242	0.4923446174
243	0.4922223538
244	0.4921441043
245	0.4920777387
246	0.4919730642
247	0.4918533867
248	0.4917923585
249	0.4917230743
250	0.4916014479
251	0.4915112391
252	0.4914131063
253	0.4913258146
254	0.4912046881
255	0.4911386538
256	0.4910082643
257	0.49089632
258	0.4908159787
259	0.4907085567
260	0.4906277929
261	0.490559012
262	0.4904945753
263	0.4904149266
264	0.490282919
265	0.4901730957
266	0.4901056479
267	0.4900160266
268	0.4899294628
269	0.4898753774
270	0.4897799538
271	0.4896979398
272	0.489626871
273	0.4895471313
274	0.4894825421
275	0.4893846208
276	0.4892810076
277	0.4892200236
278	0.4891541803
279	0.4890566519
280	0.4889448475
281	0.4888409925
282	0.4887646926
283	0.4886595724
284	0.4885953753
285	0.4885089219
286	0.4884164769
287	0.4883318355
288	0.4882673033
289	0.4881777292
290	0.4881007515
291	0.4880307806
292	0.4879245597
293	0.487865716
294	0.4878044086
295	0.4877349251
296	0.4876850953
297	0.4876047013
298	0.4875382239
299	0.4874373457
300	0.4873530218
301	0.4872277988
302	0.487135277
303	0.4870371685
304	0.4869708164
305	0.4868813605
306	0.4867912197
307	0.4866515752
308	0.486588211
309	0.4865154388
310	0.4864126221
311	0.4863317503
312	0.4862460273
313	0.4861903229
314	0.4861156923
315	0.4860542322
316	0.4859961358
317	0.4859106815
318	0.4858490012
319	0.4857932067
320	0.4857115559
321	0.4856247143
322	0.4855602244
323	0.4854954033
324	0.4854284472
325	0.4853601145
326	0.4852498008
327	0.4851847354
328	0.4851300876
329	0.485067912
330	0.4850030846
331	0.4849300809
332	0.4848764601
333	0.484821182
334	0.4847352815
335	0.4846321014
336	0.4845617699
337	0.484490276
338	0.4844367464
339	0.4843878497
340	0.4843363987
341	0.4842616372
342	0.4842200468
343	0.4841320896
344	0.4840687939
345	0.4840212116
346	0.4839681435
347	0.4838989423
348	0.4838397776
349	0.4838011188
350	0.4837228129
351	0.4836749207
352	0.483613943
353	0.4835622254
354	0.4834942787
355	0.4834514664
356	0.4834091789
357	0.483357946
358	0.4832807734
359	0.4831847379
360	0.4831373466
361	0.4830878115
362	0.4830297576
363	0.4829461673
364	0.4829031932
365	0.4828502875
366	0.4827885632
367	0.482704868
368	0.4826415423
369	0.4825664748
370	0.482507583
371	0.4824441756
372	0.4823886572
373	0.4823293109
374	0.4822800122
375	0.4822261957
376	0.4821728376
377	0.4821227378
378	0.482068131
379	0.4819939402
380	0.4819476572
381	0.4818958733
382	0.4818434143
383	0.481796527
384	0.4817214652
385	0.481682936
386	0.4816331559
387	0.4815675646
388	0.4815279342
389	0.4814627524
390	0.4814034503
391	0.4813096332
392	0.4812344519
393	0.4811846167
394	0.481142362
395	0.4810918575
396	0.4810254494
397	0.4809843514
398	0.4808820993
399	0.4808249864
400	0.4807765102
401	0.4807393032
402	0.4806699622
403	0.4806240605
404	0.4805442205
405	0.4804863907
406	0.4804185741
407	0.4803811017
408	0.4803028492
409	0.4802685297
410	0.4802125004
411	0.4801610343
412	0.4801289958
413	0.4800922529
414	0.4800494511
415	0.4799983384
416	0.479954781
417	0.479907178
418	0.4798671823
419	0.4798306747
420	0.4797677931
421	0.4797212091
422	0.4796811272
423	0.4796544015
424	0.4796097712
