iter	Passed	Remaining
0	704	1408430
1	1433	1431826
2	2081	1385444
3	2893	1444087
4	3723	1485741
5	4636	1540968
6	5534	1575882
7	6399	1593520
8	7169	1586108
9	8045	1601093
10	8918	1612600
11	9670	1602024
12	10740	1641688
13	11569	1641188
14	12441	1646444
15	13402	1661870
16	14323	1670754
17	15299	1684631
18	16329	1702597
19	17169	1699796
20	17949	1691491
21	18665	1678207
22	19469	1673532
23	20329	1673785
24	21782	1720838
25	22868	1736211
26	23703	1732082
27	24561	1729841
28	25428	1728274
29	26185	1719491
30	27071	1719492
31	27882	1714794
32	28728	1712372
33	29591	1711075
34	30392	1706332
35	31251	1704955
36	32133	1704828
37	33020	1704892
38	33904	1704786
39	34817	1706041
40	35651	1703461
41	36603	1706424
42	37716	1716548
43	38671	1719112
44	39894	1733210
45	40987	1741071
46	41984	1744601
47	43027	1749803
48	43958	1750253
49	44959	1753434
50	45780	1749523
51	46651	1747622
52	47606	1748862
53	48535	1749066
54	49426	1747904
55	50542	1754543
56	51595	1758774
57	52625	1762041
58	53882	1772640
59	54999	1778306
60	55966	1778990
61	57022	1782398
62	57988	1782902
63	58869	1780806
64	59896	1783069
65	60867	1783599
66	61776	1782286
67	62757	1783048
68	63557	1778677
69	64524	1779025
70	65418	1777345
71	66293	1775187
72	67282	1776081
73	68137	1773404
74	69078	1773016
75	70016	1772527
76	70955	1772043
77	71901	1771728
78	72873	1772028
79	73729	1769508
80	74638	1768287
81	75569	1767592
82	76463	1766037
83	77592	1769846
84	78598	1770772
85	79496	1769268
86	80588	1772024
87	81647	1773971
88	82676	1775229
89	83548	1773078
90	84448	1771564
91	85302	1769095
92	86238	1768356
93	87219	1768523
94	88219	1769039
95	89095	1767060
96	89980	1765278
97	90871	1763642
98	91715	1761127
99	92731	1761889
100	93642	1760656
101	94685	1761884
102	95580	1760347
103	96551	1760202
104	97589	1761259
105	98503	1760048
106	99588	1761883
107	100610	1762546
108	101627	1763095
109	102669	1764056
110	103711	1764971
111	104711	1765130
112	105753	1765995
113	106739	1765882
114	107716	1765611
115	108680	1765124
116	109676	1765133
117	110640	1764621
118	111476	1762072
119	112447	1761671
120	113474	1762141
121	114433	1761525
122	115296	1759445
123	116181	1757707
124	117366	1760490
125	118318	1759745
126	119323	1759790
127	120530	1762762
128	121571	1763252
129	122711	1765158
130	123745	1765496
131	124943	1768140
132	125926	1767698
133	126979	1768235
134	128093	1769592
135	129062	1768920
136	130137	1769685
137	131203	1770291
138	132309	1771429
139	133284	1770783
140	134428	1772354
141	135503	1772998
142	136639	1774398
143	137705	1774875
144	138765	1775236
145	139726	1774329
146	140746	1774169
147	141776	1774127
148	142880	1774983
149	143825	1773842
150	144939	1774793
151	145992	1774967
152	147020	1774816
153	148027	1774411
154	149163	1775523
155	150122	1774522
156	151137	1774178
157	152110	1773339
158	153004	1771578
159	153996	1770964
160	154941	1769793
161	155996	1769889
162	156952	1768848
163	157992	1768741
164	158971	1767960
165	160031	1768053
166	161021	1767375
167	161962	1766160
168	162948	1765438
169	163939	1764762
170	164946	1764254
171	166028	1764540
172	167020	1763852
173	168162	1764741
174	169354	1766127
175	170488	1766881
176	171646	1767866
177	172941	1770221
178	174129	1771455
179	175235	1771822
180	176293	1771698
181	177478	1772833
182	178578	1773100
183	179650	1773073
184	180731	1773122
185	181931	1774317
186	182930	1773543
187	183962	1773088
188	185052	1773175
189	186150	1773328
190	187301	1773971
191	188287	1773041
192	189358	1772910
193	190407	1772560
194	191536	1772937
